Variable,qrNum_2022,qrText_2022,publicTable_2022,colRef,dataType,dataNote,rOpts_2022,rSetup_2022,rSeq_2022,dataRange (rList_2022 + null markers),sNum_2022,sTitle_2022,nScope_2022,nMax_2022,nAdjMax_2022,nActual_2022,compare_2021 (data++),qrNum_2021,qCompare_2021_2022,rCompare_2021_2022,reportSection,reportFigure,dpSeq
OrgSize,Q20,What is the size of your organization?,data2022main,BP,STRING,Sequential: sort by magnitude,7,Select one,as listed,"'Fewer than 20 employees'; '20-99 employees'; '100-499 employees'; '500-999 employees'; '1,000-4,999 employees'; '5,000+ employees'; 'Don’t know'; '[^not answered]'; '[\unasked]'; '[\unfinished]'",3.2,Your work for your employer,Iff rQ01 DVRoles_Employee chosen,"1,139",,"1,026",OrgSize,Q20,identical,split largest bucket,--,,68
DataVizCentralityEmployee,Q21,How much of your work at your organization involves data visualization?,data2022main,BQ,STRING,Sequential: sort logically,3,Select one,as listed,'Primary'; 'Secondary'; 'Tertiary'; '[^not answered]'; '[\unasked]'; '[\unfinished]',3.2,Your work for your employer,Iff rQ01 DVRoles_Employee chosen,"1,139",,"1,025",DVCentralityEmployee,Q21,identical,identical in survey; 2022 data published with concise substitutions,2,Figure 6,69
ToolsChoiceEmployee,Q22,Are you able to choose your own tools for data visualization or are the choices made for you?,data2022main,BR,STRING,Sequential: sort logically,4,Select one,as listed,'A - Own choice'; 'B - No problems'; 'C - Some problems'; 'D - Major problems'; '[^not answered]'; '[\unasked]'; '[\unfinished]',3.2,Your work for your employer,Iff rQ01 DVRoles_Employee chosen,"1,139",,"1,023",ToolsChoiceEmployee,Q22,identical,identical in survey; 2022 data published with concise substitutions,4,(Figure 15),70
ToolsUnchoiceProblemsEmployee_,Q23,What type of problems do you encounter with tools that were chosen for you?,data2022main,BS,INTEGER,Counts number of options selected,11,Select all that apply,randomized,0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11,3.2,Your work for your employer,"Iff rQ01 DVRoles_Employee chosen AND  Q22 = ['C - Some problems', 'D - Major problems']",__,,237,ToolsUnchoiceProblemsEmployee__,Q23,identical,2022 multiple choice based on 2021 free input,4,Figure 15,71
ToolsUnchoiceProblemsEmployee_PoorCustomization,,Inadequate customizability,data2022main,BT,STRING,Logically BOOLEAN,1 of 11,option,randomized,'Inadequate customizability'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]',3.2,Your work for your employer,,,237,119,,,,new from 2021 free input,4,Figure 15,72
ToolsUnchoiceProblemsEmployee_MisfitForTask,,Not best fit for task,data2022main,BU,STRING,Logically BOOLEAN,2 of 11,option,randomized,'Not best fit for task'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]',3.2,Your work for your employer,,,237,120,,,,new from 2021 free input,4,Figure 15,73
ToolsUnchoiceProblemsEmployee_CostsAndOrLicenseIssues,,Costs and/or license issues,data2022main,BV,STRING,Logically BOOLEAN,3 of 11,option,randomized,'Costs and/or license issues'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]',3.2,Your work for your employer,,,237,86,,,,new from 2021 free input,4,Figure 15,74
ToolsUnchoiceProblemsEmployee_PerformanceIssues,,"Performance issues (e.g. reliability, speed, lack of updates)",data2022main,BW,STRING,Logically BOOLEAN,4 of 11,option,randomized,"'Performance issues (e.g. reliability, speed, lack of updates)'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]'",3.2,Your work for your employer,,,237,84,,,,new from 2021 free input,4,Figure 15,75
ToolsUnchoiceProblemsEmployee_HardToLearn,,Hard to learn,data2022main,BX,STRING,Logically BOOLEAN,5 of 11,option,randomized,'Hard to learn'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]',3.2,Your work for your employer,,,237,60,,,,new from 2021 free input,4,Figure 15,76
ToolsUnchoiceProblemsEmployee_CannotIntegrateWithOtherTools,,Cannot easily integrate with other tools,data2022main,BY,STRING,Logically BOOLEAN,6 of 11,option,randomized,'Cannot easily integrate with other tools'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]',3.2,Your work for your employer,,,237,89,,,,new from 2021 free input,4,Figure 15,77
ToolsUnchoiceProblemsEmployee_SharingLimits,,Sharing limitations,data2022main,BZ,STRING,Logically BOOLEAN,7 of 11,option,randomized,'Sharing limitations'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]',3.2,Your work for your employer,,,237,72,,,,new from 2021 free input,4,Figure 15,78
ToolsUnchoiceProblemsEmployee_SecurityOrGovernance,,Security or governance difficulties,data2022main,CA,STRING,Logically BOOLEAN,8 of 11,option,randomized,'Security or governance difficulties'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]',3.2,Your work for your employer,,,237,56,,,,new from 2021 free input,4,Figure 15,79
ToolsUnchoiceProblemsEmployee_PoorUXUIAccessibility,,Tool has poor UX/UI accessibility,data2022main,CB,STRING,Logically BOOLEAN,9 of 11,option,randomized,'Tool has poor UX/UI accessibility'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]',3.2,Your work for your employer,,,237,75,,,,new from 2021 free input,4,Figure 15,80
ToolsUnchoiceProblemsEmployee_PoorSupportOrPoorDocumentation,,Insufficient support or poor documentation,data2022main,CC,STRING,Logically BOOLEAN,10 of 11,option,randomized,'Insufficient support or poor documentation'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]',3.2,Your work for your employer,,,237,47,,,,new from 2021 free input,4,Figure 15,81
ToolsUnchoiceProblemsEmployee_Other__,rQ23,Other (please specify),data2022main,CD,STRING,Free input (alt),infinite,option: Free input,as listed (final option),,3.2,Your work for your employer,,,237,17,,,,,4,Figure 15,82
DataVizOrgLeadership,Q24,To what extent do you agree or disagree that: Leadership in your organization has a strong understanding of the value of data visualization,data2022main,CE,INTEGER,Sort as Likert scale (5),6,Select one,as listed,'1. Strongly Disagree'; '2. Disagree'; '3. Neither Agree nor Disagree'; '4. Agree'; '5. Strongly Agree'; 'I don’t know'; '[\unasked]'; '[\unfinished]'; '[^not answered]',3.2,Your work for your employer,Iff rQ01 DVRoles_Employee chosen,"1,139",,"1,009",DVOrgLeadership,Q24,identical,identical,--,,83
AudienceEmployee_,Q25,"In your role within your organization, who do you make data visualizations for? Select all that apply.",data2022main,CF,INTEGER,Counts number of options selected,16,Select all that apply,randomized,0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16,3.2,Your work for your employer,Iff rQ01 DVRoles_Employee chosen,"1,139",,"1,011",AudienceEmployee_,Q25,identical,mostly identical (15 of 16); 1 new,--,,84
AudienceEmployee_Public,,General Public,data2022main,CG,STRING,Logically BOOLEAN,1 of 16,option,randomized,'General Public'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]',3.2,Your work for your employer,,,"1,011",380,AudienceEmployee_Public,,,identical,--,,85
AudienceEmployee_Analysts,,Analysts,data2022main,CH,STRING,Logically BOOLEAN,2 of 16,option,randomized,'Analysts'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]',3.2,Your work for your employer,,,"1,011",463,AudienceEmployee_Analysts,,,identical,--,,86
AudienceEmployee_Engineers,,Engineers,data2022main,CI,STRING,Logically BOOLEAN,3 of 16,option,randomized,'Engineers'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]',3.2,Your work for your employer,,,"1,011",141,AudienceEmployee_Engineers,,,identical,--,,87
AudienceEmployee_Scientists,,Scientists,data2022main,CJ,STRING,Logically BOOLEAN,4 of 16,option,randomized,'Scientists'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]',3.2,Your work for your employer,,,"1,011",151,AudienceEmployee_Scientists,,,identical,--,,88
AudienceEmployee_Medical,,Medical Professionals,data2022main,CK,STRING,Logically BOOLEAN,5 of 16,option,randomized,'Medical Professionals'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]',3.2,Your work for your employer,,,"1,011",107,AudienceEmployee_Medical,,,identical,--,,89
AudienceEmployee_ProdProjManagers,,Product or Project Managers,data2022main,CL,STRING,Logically BOOLEAN,6 of 16,option,randomized,'Product or Project Managers'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]',3.2,Your work for your employer,,,"1,011",452,AudienceEmployee_ProdProjManagers,,,identical,--,,90
AudienceEmployee_PolicyMakers,,Policy Makers,data2022main,CM,STRING,Logically BOOLEAN,7 of 16,option,randomized,'Policy Makers'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]',3.2,Your work for your employer,,,"1,011",311,AudienceEmployee_PolicyMakers,,,identical,--,,91
AudienceEmployee_Execs,,Executives,data2022main,CN,STRING,Logically BOOLEAN,8 of 16,option,randomized,'Executives'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]',3.2,Your work for your employer,,,"1,011",639,AudienceEmployee_Execs,,,identical,--,,92
AudienceEmployee_Designers,,Designers,data2022main,CO,STRING,Logically BOOLEAN,9 of 16,option,randomized,'Designers'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]',3.2,Your work for your employer,,,"1,011",71,AudienceEmployee_Designers,,,identical,--,,93
AudienceEmployee_Researchers,,Researchers,data2022main,CP,STRING,Logically BOOLEAN,10 of 16,option,randomized,'Researchers'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]',3.2,Your work for your employer,,,"1,011",275,AudienceEmployee_Researchers,,,identical,--,,94
AudienceEmployee_Students,,Students,data2022main,CQ,STRING,Logically BOOLEAN,11 of 16,option,randomized,'Students'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]',3.2,Your work for your employer,,,"1,011",76,AudienceEmployee_Students,,,identical,--,,95
AudienceEmployee_Educators,,Educators,data2022main,CR,STRING,Logically BOOLEAN,12 of 16,option,randomized,'Educators'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]',3.2,Your work for your employer,,,"1,011",156,AudienceEmployee_Educators,,,identical,--,,96
AudienceEmployee_AdminPersonnel,,Administrative Personnel,data2022main,CS,STRING,Logically BOOLEAN,13 of 16,option,randomized,'Administrative Personnel'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]',3.2,Your work for your employer,,,"1,011",287,,,,new,--,,97
AudienceEmployee_DataVizEnthusiasts,,Other Data Visualization Enthusiasts,data2022main,CT,STRING,Logically BOOLEAN,14 of 16,option,randomized,'Other Data Visualization Enthusiasts'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]',3.2,Your work for your employer,,,"1,011",115,AudienceEmployee_DVEnthusiasts,,,identical,--,,98
AudienceEmployee_Self,,Myself,data2022main,CU,STRING,Logically BOOLEAN,15 of 16,option,randomized,'Myself'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]',3.2,Your work for your employer,,,"1,011",305,AudienceEmployee_Self,,,identical,--,,99
AudienceEmployee_Other__,rQ25,Other (please specify),data2022main,CV,STRING,Free input (alt),infinite,option: Free input,as listed (final option),,3.2,Your work for your employer,,,"1,011",128,AudienceEmployee_Other__,rQ25__,,identical (still free input),--,,100
AcadArea,Q26,What is your academic area of specialty?,data2022main,CW,STRING,Categorical: ,8,Select one,as listed,"'Arts and Humanities'; 'Business'; 'Health and Medicine'; 'Multi-/Interdisciplinary Studies'; 'Public and Social Services'; 'Science, Math, and Technology'; 'Social Sciences'; 'Trades and Personal Services'; '[^not answered]'; '[\unasked]'; '[\unfinished]'",3.3,Your work as an academic or teacher,Iff rQ01 DVRoles_Academic chosen,159,,136,AcadArea,Q26,identical,identical,--,,101
AcadDataVizUse_,Q27,How do you use data visualization in your work? Select all that apply.,data2022main,CX,INTEGER,Counts number of options selected,5,Select all that apply,randomized,0; 1; 2; 3; 4; 5,3.3,Your work as an academic or teacher,Iff rQ01 DVRoles_Academic chosen,159,,138,AcadDVUse_,Q27,identical,identical,--,,102
AcadDataVizUse_ShareFindings,,Communication of research findings,data2022main,CY,STRING,Logically BOOLEAN,1 of 5,option,randomized,'Communication of research findings'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]',3.3,Your work as an academic or teacher,,,138,92,AcadDVUse_ShareFindings,,,identical,--,,103
AcadDataVizUse_TeachDataViz,,Teaching data visualization as a course topic,data2022main,CZ,STRING,Logically BOOLEAN,2 of 5,option,randomized,'Teaching data visualization as a course topic'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]',3.3,Your work as an academic or teacher,,,138,105,AcadDVUse_TeachDV,,,identical,--,,104
AcadDataVizUse_ResearchTopic,,As a topic of academic research,data2022main,DA,STRING,Logically BOOLEAN,3 of 5,option,randomized,'As a topic of academic research'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]',3.3,Your work as an academic or teacher,,,138,53,AcadDVUse_ResearchTopic,,,identical,--,,105
AcadDataVizUse_OtherTeaching,,Other instructional purposes,data2022main,DB,STRING,Logically BOOLEAN,4 of 5,option,as listed (pre-final option),'Other instructional purposes'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]',3.3,Your work as an academic or teacher,,,138,28,AcadDVUse_OtherTeaching,,,identical,--,,106
AcadDataVizUse_Other__,rQ27,Other (please specify),data2022main,DC,STRING,Free input (alt),infinite,option: Free input,as listed (final option),,3.3,Your work as an academic or teacher,,,138,8,AcadDVUse_Other__,rQ27__,,identical (still free input),--,,107
StudentTime,Q28,Are you a full time or part time student?,data2022main,DD,STRING,Sequential: sort logically,2,Select one,as listed,'Full time'; 'Part time'; '[^not answered]'; '[\unasked]'; '[\unfinished]',3.4,Your work as a student,Iff rQ01 DVRoles_Student chosen,113,,90,StudentTime,Q28,identical,identical,--,,108
StudentDegreeLevel,Q29,What degree are you currently pursuing?,data2022main,DE,STRING,Sequential: sort logically,3,Select one,as listed,'Undergraduate/Bachelor’s'; 'Graduate/Master’s'; 'PhD/Doctorate'; '[^not answered]'; '[\unasked]'; '[\unfinished]',3.4,Your work as a student,Iff rQ01 DVRoles_Student chosen,113,,89,StudentDegreeLevel,Q29,identical,identical,--,,109
StudentDataVizTaught,Q30,Is data visualization formally taught within your degree program?,data2022main,DF,STRING,Sequential: sort logically,3,Select one,as listed,"'Yes, in a required course'; 'Yes, in an elective course'; 'No'; '[^not answered]'; '[\unasked]'; '[\unfinished]'",3.4,Your work as a student,Iff rQ01 DVRoles_Student chosen,113,,90,StudentDVTaught,Q30,identical,identical,--,,110
StudentDegreeArea__,Q31,What are you pursuing a degree in?,data2022main,DG,STRING,FREE INPUT,infinite,Free input,,,3.4,Your work as a student,Iff rQ01 DVRoles_Student chosen,113,,87,StudentDegreeArea__,Q31,identical,identical (still free input),--,,111
HobbyTime,Q32,How many hours per week do you spend doing data visualization as a hobby or side project?,data2022main,DH,STRING,Sequential: sort by magnitude,6,Select one,as listed,'5 or fewer'; '6–10'; '11–20'; '21–30'; '31–40'; 'More than 40'; '[^not answered]'; '[\unasked]'; '[\unfinished]',3.5,Your personal data visualization,Iff rQ01 DVRoles_Hobbyist chosen,185,,157,HobbyTime,Q32,identical,identical,--,,112
HobbyEnjoyment,Q33.1,How often do you work on uncompensated dataviz projects for the following reasons?  For personal enjoyment,data2022main,DI,STRING,Sort as Likert scale (4),4,Select one,as listed,'Never'; 'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]',3.5,Your personal data visualization,Iff rQ01 DVRoles_Hobbyist chosen,185,,155,HobbyEnjoyment,Q33.1,identical,identical,--,,113
HobbyPortfolio,Q33.2,How often do you work on uncompensated dataviz projects for the following reasons?  To build my portfolio,data2022main,DJ,STRING,Sort as Likert scale (4),4,Select one,as listed,'Never'; 'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]',3.5,Your personal data visualization,Iff rQ01 DVRoles_Hobbyist chosen,185,,155,HobbyPortfolio,Q33.2,identical,identical,--,,114
HobbyVolunteer,Q33.3,How often do you work on uncompensated dataviz projects for the following reasons?  To help organizations (as a volunteer),data2022main,DK,STRING,Sort as Likert scale (4),4,Select one,as listed,'Never'; 'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]',3.5,Your personal data visualization,Iff rQ01 DVRoles_Hobbyist chosen,185,,151,HobbyVolunteer,Q33.3,identical,identical,--,,115
HobbyShareMessages,Q33.4,How often do you work on uncompensated dataviz projects for the following reasons?  To share messages I think are important,data2022main,DL,STRING,Sort as Likert scale (4),4,Select one,as listed,'Never'; 'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]',3.5,Your personal data visualization,Iff rQ01 DVRoles_Hobbyist chosen,185,,152,HobbyShareMessages,Q33.4,identical,identical,--,,116
HobbyBuildSkills,Q33.5,How often do you work on uncompensated dataviz projects for the following reasons?  To build skills,data2022main,DM,STRING,Sort as Likert scale (4),4,Select one,as listed,'Never'; 'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]',3.5,Your personal data visualization,Iff rQ01 DVRoles_Hobbyist chosen,185,,155,HobbyBuildSkills,Q33.5,identical,identical,--,,117
HobbyOther__,Q33.6,How often do you work on uncompensated dataviz projects for the following reasons?  Other (please specify),data2022main,DN,STRING,FREE INPUT,infinite,Free input,,,3.5,Your personal data visualization,Iff rQ01 DVRoles_Hobbyist chosen,185,,4,,,new,,--,,118
ChartsUsed_,Q34,"Which of these charts have you created in the last 6 months? Select all that apply. See here, here, or here for examples of different chart types.",data2022main,DO,INTEGER,Counts number of options selected,23,Select all that apply,randomized,0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 20; 21; 22; 23,4,Charts and Tools,ALL,"1,568",,"1,336",ChartsUsed_,Q35,wording revised,changes listed below (2 new; 2 revised to 3),--,,119
ChartsUsed_Line,,Line Chart,data2022main,DP,STRING,Logically BOOLEAN,1 of 23,option,randomized,'Line Chart'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,336","1,179",ChartsUsed_Line,,,identical,--,,120
ChartsUsed_Bar,,Bar Chart,data2022main,DQ,STRING,Logically BOOLEAN,2 of 23,option,randomized,'Bar Chart'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,336","1,247",ChartsUsed_Bar,,,identical,--,,121
ChartsUsed_PieOrDonut,,Pie Chart/Donut Chart,data2022main,DR,STRING,Logically BOOLEAN,3 of 23,option,randomized,'Pie Chart/Donut Chart'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,336",799,ChartsUsed_PieOrDonut,,,identical,--,,122
ChartsUsed_Scatterplot,,Scatterplot,data2022main,DS,STRING,Logically BOOLEAN,4 of 23,option,randomized,'Scatterplot'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,336",897,ChartsUsed_Scatterplot,,,identical,--,,123
ChartsUsed_Histogram,,Histogram,data2022main,DT,STRING,Logically BOOLEAN,5 of 23,option,randomized,'Histogram'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,336",780,ChartsUsed_Histogram,,,identical,--,,124
ChartsUsed_Boxplot,,Boxplot/Box and Whisker,data2022main,DU,STRING,Logically BOOLEAN,6 of 23,option,randomized,'Boxplot/Box and Whisker'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,336",460,,,,new,--,,125
ChartsUsed_DotPlot,,Dot Plot,data2022main,DV,STRING,Logically BOOLEAN,7 of 23,option,randomized,'Dot Plot'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,336",510,,,,new,--,,126
ChartsUsed_Hexbin,,Hexbin,data2022main,DW,STRING,Logically BOOLEAN,8 of 23,option,randomized,'Hexbin'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,336",86,ChartsUsed_HexbinOrHeatmap,,,split 1 mixed option into 2 options,--,,127
ChartsUsed_Heatmap,,Heatmap,data2022main,DX,STRING,Logically BOOLEAN,9 of 23,option,randomized,'Heatmap'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,336",773,ChartsUsed_HexbinOrHeatmap,,,split 1 mixed option into 2 options,--,,128
ChartsUsed_Infographic,,Infographic,data2022main,DY,STRING,Logically BOOLEAN,10 of 23,option,randomized,'Infographic'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,336",573,ChartsUsed_Infographic,,,identical,--,,129
ChartsUsed_Pictorial,,Pictorial Visualization,data2022main,DZ,STRING,Logically BOOLEAN,11 of 23,option,randomized,'Pictorial Visualization'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,336",296,ChartsUsed_Pictorial,,,identical,--,,130
ChartsUsed_Treemap,,Treemap,data2022main,EA,STRING,Logically BOOLEAN,12 of 23,option,randomized,'Treemap'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,336",536,ChartsUsed_Treemap,,,identical,--,,131
ChartsUsed_Dendrogram,,Dendrogram,data2022main,EB,STRING,Logically BOOLEAN,13 of 23,option,randomized,'Dendrogram'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,336",114,ChartsUsed_Dendrogram,,,identical,--,,132
ChartsUsed_Network,,Network Diagram,data2022main,EC,STRING,Logically BOOLEAN,14 of 23,option,randomized,'Network Diagram'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,336",293,ChartsUsed_Network,,,identical,--,,133
ChartsUsed_ChoroplethMap,,Choropleth Map,data2022main,ED,STRING,Logically BOOLEAN,15 of 23,option,randomized,'Choropleth Map'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,336",442,ChartsUsed_ChoroplethMap,,,identical,--,,134
ChartsUsed_OtherGeospatialMap,,Geospatial Map (other than Choropleth),data2022main,EE,STRING,Logically BOOLEAN,16 of 23,option,randomized,'Geospatial Map (other than Choropleth)'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,336",502,ChartsUsed_RasterMap,,,scope revised,--,,135
ChartsUsed_Waffle,,Waffle Chart,data2022main,EF,STRING,Logically BOOLEAN,17 of 23,option,randomized,'Waffle Chart'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,336",225,ChartsUsed_Waffle,,,identical,--,,136
ChartsUsed_Flow,,"Flow Chart (Sankey, DAGRE, Alluvial)",data2022main,EG,STRING,Logically BOOLEAN,18 of 23,option,randomized,"'Flow Chart (Sankey, DAGRE, Alluvial)'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'",4,Charts and Tools,,,"1,336",444,ChartsUsed_Flow,,,identical,--,,137
ChartsUsed_3D,,3D Chart,data2022main,EH,STRING,Logically BOOLEAN, 19 of 23,option,randomized,'3D Chart'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,336",56,ChartsUsed_3D,,,identical,--,,138
ChartsUsed_VRorAR,,VR/AR Chart,data2022main,EI,STRING,Logically BOOLEAN,20 of 23,option,randomized,'VR/AR Chart'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,336",21,ChartsUsed_VRorAR,,,identical,--,,139
ChartsUsed_BeeSwarm,,Bee Swarm Chart,data2022main,EJ,STRING,Logically BOOLEAN,21 of 23,option,randomized,'Bee Swarm Chart'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,336",161,ChartsUsed_BeeSwarm,,,identical,--,,140
ChartsUsed_ForceDirected,,Force-Directed Graph,data2022main,EK,STRING,Logically BOOLEAN, 22 of 23,option,randomized,'Force-Directed Graph'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,336",122,ChartsUsed_ForceDirected,,,identical,--,,141
ChartsUsed_Other__,rQ34,Other (please specify),data2022main,EL,STRING,Free input (alt),infinite,option: Free input,as listed (final option),,4,Charts and Tools,,,"1,336",107,ChartsUsed_Other__,rQ35__,,identical (still free input),--,,142
DataVizSharingChannels_,Q35,How do you communicate your data visualizations? Select all that apply.,data2022main,EM,INTEGER,Counts number of options selected,18,Select all that apply,randomized,0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18,4,Charts and Tools,ALL,"1,568",,"1,336",DVSharingChannels_,Q36,identical,identical,--,,143
DataVizSharingChannels_EmbeddedInTool,,Embedded in a tool,data2022main,EN,STRING,Logically BOOLEAN,1 of 18,option,randomized,'Embedded in a tool'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,336",342,DVSharingChannels_EmbeddedInTool,,,identical,--,,144
DataVizSharingChannels_Dashboard,,Dashboard,data2022main,EO,STRING,Logically BOOLEAN,2 of 18,option,randomized,'Dashboard'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,336",900,DVSharingChannels_Dashboard,,,identical,--,,145
DataVizSharingChannels_Scrollytelling,,Scrollytelling,data2022main,EP,STRING,Logically BOOLEAN,3 of 18,option,randomized,'Scrollytelling'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,336",239,DVSharingChannels_Scrollytelling,,,identical,--,,146
DataVizSharingChannels_StaticWebPage,,Static web page,data2022main,EQ,STRING,Logically BOOLEAN,4 of 18,option,randomized,'Static web page'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,336",481,DVSharingChannels_StaticWebPage,,,identical,--,,147
DataVizSharingChannels_InteractiveNotebook,,Interactive notebook,data2022main,ER,STRING,Logically BOOLEAN,5 of 18,option,randomized,'Interactive notebook'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,336",182,DVSharingChannels_InteractiveNotebook,,,identical,--,,148
DataVizSharingChannels_DocumentOrReport,,Document or report,data2022main,ES,STRING,Logically BOOLEAN,6 of 18,option,randomized,'Document or report'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,336",799,DVSharingChannels_DocumentOrReport,,,identical,--,,149
DataVizSharingChannels_Presentations,,Presentations,data2022main,ET,STRING,Logically BOOLEAN,7 of 18,option,randomized,'Presentations'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,336",910,DVSharingChannels_Presentations,,,identical,--,,150
DataVizSharingChannels_Email,,Email,data2022main,EU,STRING,Logically BOOLEAN,8 of 18,option,randomized,'Email'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,336",423,DVSharingChannels_Email,,,identical,--,,151
DataVizSharingChannels_NewspaperorMagazine,,Newspaper or magazine,data2022main,EV,STRING,Logically BOOLEAN,9 of 18,option,randomized,'Newspaper or magazine'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,336",92,DVSharingChannels_NewspaperorMagazine,,,identical,--,,152
DataVizSharingChannels_PeerReviewedJournal,,Peer reviewed journal publication,data2022main,EW,STRING,Logically BOOLEAN,10 of 18,option,randomized,'Peer reviewed journal publication'; '[^not chosen]'; '[^not answered]'; '[\unfinished]',4,Charts and Tools,,,"1,336",156,DVSharingChannels_PeerReviewedJournal,,,identical,--,,153
