publicTable_2022	surveyQnum	Variable	dataType	dataRange
data2022main	Q35	DataVizSharingChannels_Dashboard	STRING	{'Dashboard'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q35	DataVizSharingChannels_Scrollytelling	STRING	{'Scrollytelling'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q35	DataVizSharingChannels_StaticWebPage	STRING	{'Static web page'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q35	DataVizSharingChannels_InteractiveNotebook	STRING	{'Interactive notebook'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q35	DataVizSharingChannels_DocumentOrReport	STRING	{'Document or report'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q35	DataVizSharingChannels_Presentations	STRING	{'Presentations'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q35	DataVizSharingChannels_Email	STRING	{'Email'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q35	DataVizSharingChannels_NewspaperorMagazine	STRING	{'Newspaper or magazine'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q35	DataVizSharingChannels_PeerReviewedJournal	STRING	{'Peer reviewed journal publication'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q35	DataVizSharingChannels_PrintedOnPaper	STRING	{'Physical handout or Printed on paper'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q35	DataVizSharingChannels_OtherPhysicalMedium	STRING	{'Physical medium other than printed on paper'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q35	DataVizSharingChannels_VRorAR	STRING	{'Augmented or Virtual reality'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q35	DataVizSharingChannels_Installation	STRING	{'Installation'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q35	DataVizSharingChannels_App	STRING	{'App'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q35	DataVizSharingChannels_Video	STRING	{'Video'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q35	DataVizSharingChannels_SocialMedia	STRING	{'Social media'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q35	DataVizSharingChannels_Other__	STRING	
data2022main	Q36	ToolsForDataViz_	INTEGER	0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33; 34; 35; 36
data2022main	Q36	ToolsForDataViz_ArcGIS	STRING	{'ArcGIS'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q36	ToolsForDataViz_Canvas	STRING	{'Canvas'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q36	ToolsForDataViz_D3	STRING	{'D3.js'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q36	ToolsForDataViz_Datawrapper	STRING	{'Datawrapper'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q36	ToolsForDataViz_Excel	STRING	{'Excel'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q36	ToolsForDataViz_Figma	STRING	{'Figma'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q36	ToolsForDataViz_Flourish	STRING	{'Flourish'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q36	ToolsForDataViz_ggplot2	STRING	{'ggplot2'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q36	ToolsForDataViz_Gephi	STRING	{'Gephi'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q36	ToolsForDataViz_GoogleDataStudio	STRING	{'Google Data Studio'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q36	ToolsForDataViz_GoogleSheets	STRING	{'Google Sheets'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q36	ToolsForDataViz_Highcharts	STRING	{'Highcharts'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q36	ToolsForDataViz_Illustrator	STRING	{'Illustrator'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q36	ToolsForDataViz_Leaflet	STRING	{'Leaflet'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q36	ToolsForDataViz_Looker	STRING	{'Looker'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q36	ToolsForDataViz_Mapbox	STRING	{'Mapbox'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q36	ToolsForDataViz_Observable	STRING	{'Observable'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q36	ToolsForDataViz_P5orProcessing	STRING	{'P5/Processing'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q36	ToolsForDataViz_PenPaper	STRING	{'Pen & paper'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q36	ToolsForDataViz_PhysicalMaterials	STRING	{'Physical materials (other than pen and paper)'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q36	ToolsForDataViz_Plotly	STRING	{'Plotly'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q36	ToolsForDataViz_PowerBI	STRING	{'Power BI'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q36	ToolsForDataViz_PowerPoint	STRING	{'PowerPoint'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q36	ToolsForDataViz_Python	STRING	{'Python'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q36	ToolsForDataViz_QGIS	STRING	{'QGIS'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q36	ToolsForDataViz_Qlik	STRING	{'Qlik'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q36	ToolsForDataViz_R	STRING	{'R'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q36	ToolsForDataViz_RAWGraphs	STRING	{'RAWGraphs'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q36	ToolsForDataViz_React	STRING	{'React'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q36	ToolsForDataViz_Svelte	STRING	{'Svelte'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q36	ToolsForDataViz_Tableau	STRING	{'Tableau'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q36	ToolsForDataViz_Vega	STRING	{'Vega'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q36	ToolsForDataViz_Vue	STRING	{'Vue'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q36	ToolsForDataViz_WebComponents	STRING	{'Web Components'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q36	ToolsForDataViz_WebGL	STRING	{'WebGL'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q36	ToolsForDataViz_Other__	STRING	
data2022main	Q37	ToolsFreq_	INTEGER	0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33; 34; 35; 36
data2022main	Q37	ToolsFreq_ArcGIS	STRING	{'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q37	ToolsFreq_Canvas	STRING	{'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q37	ToolsFreq_D3	STRING	{'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q37	ToolsFreq_Datawrapper	STRING	{'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q37	ToolsFreq_Excel	STRING	{'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q37	ToolsFreq_Figma	STRING	{'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q37	ToolsFreq_Flourish	STRING	{'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q37	ToolsFreq_ggplot2	STRING	{'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q37	ToolsFreq_Gephi	STRING	{'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q37	ToolsFreq_GoogleDataStudio	STRING	{'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q37	ToolsFreq_GoogleSheets	STRING	{'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q37	ToolsFreq_Highcharts	STRING	{'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q37	ToolsFreq_Illustrator	STRING	{'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q37	ToolsFreq_Leaflet	STRING	{'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q37	ToolsFreq_Looker	STRING	{'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q37	ToolsFreq_Mapbox	STRING	{'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q37	ToolsFreq_Observable	STRING	{'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q37	ToolsFreq_P5orProcessing	STRING	{'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q37	ToolsFreq_PenPaper	STRING	{'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q37	ToolsFreq_PhysicalMaterials	STRING	{'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q37	ToolsFreq_Plotly	STRING	{'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q37	ToolsFreq_PowerBI	STRING	{'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q37	ToolsFreq_PowerPoint	STRING	{'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q37	ToolsFreq_Python	STRING	{'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q37	ToolsFreq_QGIS	STRING	{'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q37	ToolsFreq_Qlik	STRING	{'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q37	ToolsFreq_R	STRING	{'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q37	ToolsFreq_RAWGraphs	STRING	{'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q37	ToolsFreq_React	STRING	{'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q37	ToolsFreq_Svelte	STRING	{'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q37	ToolsFreq_Tableau	STRING	{'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q37	ToolsFreq_Vega	STRING	{'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q37	ToolsFreq_Vue	STRING	{'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q37	ToolsFreq_WebComponents	STRING	{'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q37	ToolsFreq_WebGL	STRING	{'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q37	ToolsFreq_Other__	STRING	{'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q38	ToolsLiking_	INTEGER	0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33; 34; 35; 36
data2022main	Q38	ToolsLiking_ArcGIS	STRING	{'Not at all'; 'Somewhat'; 'Very much'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q38	ToolsLiking_Canvas	STRING	{'Not at all'; 'Somewhat'; 'Very much'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q38	ToolsLiking_D3	STRING	{'Not at all'; 'Somewhat'; 'Very much'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q38	ToolsLiking_Datawrapper	STRING	{'Not at all'; 'Somewhat'; 'Very much'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q38	ToolsLiking_Excel	STRING	{'Not at all'; 'Somewhat'; 'Very much'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q38	ToolsLiking_Figma	STRING	{'Not at all'; 'Somewhat'; 'Very much'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q38	ToolsLiking_Flourish	STRING	{'Not at all'; 'Somewhat'; 'Very much'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q38	ToolsLiking_ggplot2	STRING	{'Not at all'; 'Somewhat'; 'Very much'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q38	ToolsLiking_Gephi	STRING	{'Not at all'; 'Somewhat'; 'Very much'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q38	ToolsLiking_GoogleDataStudio	STRING	{'Not at all'; 'Somewhat'; 'Very much'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q38	ToolsLiking_GoogleSheets	STRING	{'Not at all'; 'Somewhat'; 'Very much'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q38	ToolsLiking_Highcharts	STRING	{'Not at all'; 'Somewhat'; 'Very much'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q38	ToolsLiking_Illustrator	STRING	{'Not at all'; 'Somewhat'; 'Very much'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q38	ToolsLiking_Leaflet	STRING	{'Not at all'; 'Somewhat'; 'Very much'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q38	ToolsLiking_Looker	STRING	{'Not at all'; 'Somewhat'; 'Very much'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q38	ToolsLiking_Mapbox	STRING	{'Not at all'; 'Somewhat'; 'Very much'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q38	ToolsLiking_Observable	STRING	{'Not at all'; 'Somewhat'; 'Very much'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q38	ToolsLiking_P5orProcessing	STRING	{'Not at all'; 'Somewhat'; 'Very much'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q38	ToolsLiking_PenPaper	STRING	{'Not at all'; 'Somewhat'; 'Very much'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q38	ToolsLiking_PhysicalMaterials	STRING	{'Not at all'; 'Somewhat'; 'Very much'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q38	ToolsLiking_Plotly	STRING	{'Not at all'; 'Somewhat'; 'Very much'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q38	ToolsLiking_PowerBI	STRING	{'Not at all'; 'Somewhat'; 'Very much'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q38	ToolsLiking_PowerPoint	STRING	{'Not at all'; 'Somewhat'; 'Very much'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q38	ToolsLiking_Python	STRING	{'Not at all'; 'Somewhat'; 'Very much'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q38	ToolsLiking_QGIS	STRING	{'Not at all'; 'Somewhat'; 'Very much'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q38	ToolsLiking_Qlik	STRING	{'Not at all'; 'Somewhat'; 'Very much'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q38	ToolsLiking_R	STRING	{'Not at all'; 'Somewhat'; 'Very much'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q38	ToolsLiking_RAWGraphs	STRING	{'Not at all'; 'Somewhat'; 'Very much'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q38	ToolsLiking_React	STRING	{'Not at all'; 'Somewhat'; 'Very much'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q38	ToolsLiking_Svelte	STRING	{'Not at all'; 'Somewhat'; 'Very much'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q38	ToolsLiking_Tableau	STRING	{'Not at all'; 'Somewhat'; 'Very much'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q38	ToolsLiking_Vega	STRING	{'Not at all'; 'Somewhat'; 'Very much'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q38	ToolsLiking_Vue	STRING	{'Not at all'; 'Somewhat'; 'Very much'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q38	ToolsLiking_WebComponents	STRING	{'Not at all'; 'Somewhat'; 'Very much'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q38	ToolsLiking_WebGL	STRING	{'Not at all'; 'Somewhat'; 'Very much'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q38	ToolsLiking_Other__	STRING	{'Not at all'; 'Somewhat'; 'Very much'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q39	ChallengesForDataViz_	INTEGER	0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14
data2022main	Q39	ChallengesForDataViz_LackTime	STRING	{'Lack of time'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q39	ChallengesForDataViz_LackDesignExpertise	STRING	{'Lack of design expertise'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q39	ChallengesForDataViz_LackTechSkill	STRING	{'Lack of technical skill'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q39	ChallengesForDataViz_LearningNewToolsEtc	STRING	{'Learning new tools/approaches'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q39	ChallengesForDataViz_AccessingData	STRING	{'Accessing data'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q39	ChallengesForDataViz_InfoOverload	STRING	{'Information overload'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q39	ChallengesForDataViz_LackCollaboration	STRING	{'Lack of collaboration'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q39	ChallengesForDataViz_LackMentorship	STRING	{'Lack of mentorship'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q39	ChallengesForDataViz_LowDataLiteracy	STRING	{'Low data literacy'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q39	ChallengesForDataViz_DataVizNotRespected	STRING	{'Not enough respect for dataviz'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q39	ChallengesForDataViz_ToolsTechLimits	STRING	{'Technical limitations of the tools'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q39	ChallengesForDataViz_NonVizActivity	STRING	{'Too much effort spent on non-viz activity'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q39	ChallengesForDataViz_DataVolume	STRING	{'Data volume'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q39	ChallengesForDataViz_Other__	STRING	
data2022main	Q40	ChallengesImpact_	INTEGER	0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14
data2022main	Q40	ChallengesImpact_LackTime	STRING	{'Minor Impact'; 'Moderate Impact'; 'Significant Impact'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q40	ChallengesImpact_LackDesignExpertise	STRING	{'Minor Impact'; 'Moderate Impact'; 'Significant Impact'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q40	ChallengesImpact_LackTechSkill	STRING	{'Minor Impact'; 'Moderate Impact'; 'Significant Impact'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q40	ChallengesImpact_LearningNewToolsEtc	STRING	{'Minor Impact'; 'Moderate Impact'; 'Significant Impact'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q40	ChallengesImpact_AccessingData	STRING	{'Minor Impact'; 'Moderate Impact'; 'Significant Impact'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q40	ChallengesImpact_InfoOverload	STRING	{'Minor Impact'; 'Moderate Impact'; 'Significant Impact'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q40	ChallengesImpact_LackCollaboration	STRING	{'Minor Impact'; 'Moderate Impact'; 'Significant Impact'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q40	ChallengesImpact_LackMentorship	STRING	{'Minor Impact'; 'Moderate Impact'; 'Significant Impact'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q40	ChallengesImpact_LowDataLiteracy	STRING	{'Minor Impact'; 'Moderate Impact'; 'Significant Impact'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q40	ChallengesImpact_DataVizNotRespected	STRING	{'Minor Impact'; 'Moderate Impact'; 'Significant Impact'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q40	ChallengesImpact_ToolsTechLimits	STRING	{'Minor Impact'; 'Moderate Impact'; 'Significant Impact'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q40	ChallengesImpact_NonVizActivity	STRING	{'Minor Impact'; 'Moderate Impact'; 'Significant Impact'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q40	ChallengesImpact_DataVolume	STRING	{'Minor Impact'; 'Moderate Impact'; 'Significant Impact'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q40	ChallengesImpact_Other__	STRING	{'Minor Impact'; 'Moderate Impact'; 'Significant Impact'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q41	EntryBarriers__	STRING	
data2022main	Q42	DataVizNotUnderstood__	STRING	
data2022main	Q43	EmployChanged	STRING	{'Yes'; 'No'; '[^not answered]'; '[\unfinished]'}
data2022main	Q44	EmployNewWanted	STRING	{'Yes'; 'No'; '[^not answered]'; '[\unfinished]'}
data2022main	Q45	TopDataVizSkillsToImprove	STRING	{'Improving my data skills'; 'Improving my design skills'; 'Improving my skills with an existing technical tool or library'; 'Learning a new technical tool or library'; 'I don’t feel I need to improve my data visualization skills currently'; 'Other (please specify)'; '[^not answered]'; '[\unfinished]'}
data2022main	rQ45	TopDataVizSkillsToImprove_Other__	STRING	
data2022main	Q46	TopMethodsDataVizEduc_	INTEGER	0; 1; 2; 3; 4; 5; 6; 7; 8; 9
data2022main	Q46	TopMethodsDataVizEduc_Books	STRING	{'Books'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q46	TopMethodsDataVizEduc_Workshops	STRING	{'Workshops'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q46	TopMethodsDataVizEduc_Examples	STRING	{'Examples'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q46	TopMethodsDataVizEduc_VideoTutorials	STRING	{'Video tutorials'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q46	TopMethodsDataVizEduc_CollaborateWithMoreSkilled	STRING	{'Collaborating with more skilled practitioners'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q46	TopMethodsDataVizEduc_WorkThroughProject	STRING	{'Working through a project'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q46	TopMethodsDataVizEduc_MentororTeach	STRING	{'Mentoring/teaching others'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q46	TopMethodsDataVizEduc_Podcasts	STRING	{'Podcasts'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q46	TopMethodsDataVizEduc_Other__	STRING	
data2022main	Q47.1	TrainingSitus_InPerson	STRING	{'Not likely'; 'Somewhat likely'; 'Very likely'; '[^not answered]'; '[\unfinished]'}
data2022main	Q47.2	TrainingSitus_SameTimeVirtual	STRING	{'Not likely'; 'Somewhat likely'; 'Very likely'; '[^not answered]'; '[\unfinished]'}
data2022main	Q47.3	TrainingSitus_AsyncVirtual	STRING	{'Not likely'; 'Somewhat likely'; 'Very likely'; '[^not answered]'; '[\unfinished]'}
data2022main	Q48	PDFundAmount	STRING	{'$0'; '$1–100'; '$101–250'; '$251–500'; '$501–1,000'; '$1,001–2,000'; '$2,001–5,000'; '$5,001+'; 'Don’t know'; 'Don’t have a set amount'; '[^not answered]'; '[\unfinished]'}
data2022main	Q49	PDFundUse_	INTEGER	0; 1; 2; 3; 4; 5; 6; 7; 8; 9
data2022main	Q49	PDFundUse_ConferenceRegistration	STRING	{'Conference registration'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q49	PDFundUse_ConferenceTravel	STRING	{'Conference travel and lodging'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q49	PDFundUse_SoftwareLicenses	STRING	{'Data visualization software licenses'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q49	PDFundUse_Workshops	STRING	{'Workshops or training seminars'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q49	PDFundUse_Memberships	STRING	{'Professional association memberships'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q49	PDFundUse_Books	STRING	{'Professional books'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q49	PDFundUse_Tuition	STRING	{'Tuition for graduate coursework'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
